paper_id,citation,composition_label,ceria_dopant,dopant_fraction,secondary_phase,secondary_phase_wt_pct,synthesis_route,sintering_temp_C,pellet_thickness_um,relative_density_pct,measurement_method,atmosphere,conductivity_type,conductivity_S_cm,conductivity_temp_C,activation_energy_eV,pmax_mW_cm2,pmax_temp_C,ocv_V,fuel,durability_h,notes,extraction_confidence
ref04_30ADC,"Sarfraz et al. 2024, Int. J. Miner. Metall. Mater. 31(10):2253",10ADC (Al0.1Ce0.9O2),Al,0.1,none,,"direct sintering (dissolved nitrates, dried 120 C 24 h, calcined 1000 C 4 h)",1000,650.0,,EIS,H2/air (fuel-cell condition),total,0.13,500.0,,765.0,500.0,,H2,,"Total conductivity from EIS (Table 2). Ionic conductivity from I-V at 500 C = 0.10 S/cm. Pellet: 13 mm diameter pressed at 250 MPa; full pellet ~1.5 mm, electrolyte layer ~0.65 mm. Cell pre-sintered at 550 C 2 h before test. OCV for 10ADC not tabulated separately.",high
ref04_30ADC,"Sarfraz et al. 2024, Int. J. Miner. Metall. Mater. 31(10):2253",20ADC (Al0.2Ce0.8O2),Al,0.2,none,,"direct sintering (dissolved nitrates, dried 120 C 24 h, calcined 1000 C 4 h)",1000,650.0,,EIS,H2/air (fuel-cell condition),total,0.15,500.0,,859.0,500.0,,H2,,Total conductivity from EIS (Table 2). Ionic conductivity from I-V at 500 C = 0.12 S/cm. OCV for 20ADC not tabulated separately.,high
ref04_30ADC,"Sarfraz et al. 2024, Int. J. Miner. Metall. Mater. 31(10):2253",30ADC (Al0.3Ce0.7O2),Al,0.3,none,,"direct sintering (dissolved nitrates, dried 120 C 24 h, calcined 1000 C 4 h)",1000,521.0,,EIS,H2/air (fuel-cell condition),total,0.18,500.0,,923.0,500.0,1.077,H2,,"Best-performing composition. Total conductivity from EIS (Table 2); ionic from I-V at 500 C = 0.15 S/cm. Electrolyte thickness 521 um measured from cross-sectional SEM after test (pressed target ~650 um). Peak power at other temperatures: 857 (470 C), 628 (440 C), 410 (410 C actually 424), 205 (380 C) mW/cm2. Proton conduction confirmed by BZCY oxide-ion blocking layer (OCV 1.09 V, Pmax 656 mW/cm2 with blocker) and H+ transference number 55-81% between 420-560 C. Highest temperature measured = 500 C (rule: closest to 600 C).",high
ref05_BSDC,"Ahmed, Raza et al. 2016, Int. J. Hydrogen Energy","BSDC-carbonate [Sample-1] (SDC + Ba(NO3)2 + Na2CO3, co-precipitation)",Ba+Sm,0.2,Na2CO3 (used in synthesis; Ba reacts with SDC at 800 C to form barium cerate),,co-precipitation,800,1000.0,,,,,,,,,,,natural gas,,"dopant_fraction 0.20 is the Sm:Ce ratio (1:4 = 20%). SDC:Ba(NO3)2 molar ratio 1:1. FC pellet 1 mm x 13 mm, sintered 500 C 30 min before test. No conductivity or Pmax numbers tabulated for Sample-1 in extracted text (Fig. 5 shows 300-500 C curves; Table 2 not captured).",medium
ref05_BSDC,"Ahmed, Raza et al. 2016, Int. J. Hydrogen Energy","LSDC-carbonate [Sample-2] (SDC + La(NO3)3, co-precipitation)",La+Sm,0.2,Na2CO3 (implicit from SDC precipitation step),,co-precipitation,800,1000.0,,,,,,,,,,,natural gas,,dopant_fraction 0.20 is the Sm:Ce ratio. SDC:La(NO3)3 molar ratio 1:1. Paper notes La did not react with SDC at 800 C (unlike Ba). No conductivity or Pmax numbers tabulated in extracted text (Fig. 6 shows curves).,medium
ref05_BSDC,"Ahmed, Raza et al. 2016, Int. J. Hydrogen Energy","BSDC-carbonate [Sample-3] (SDC + Na2CO3 + Ba(NO3)2, wet chemical)",Ba+Sm,0.2,Na2CO3,,wet chemical,800,2050.0,,2-probe DC,H2,ionic,0.16,600.0,,350.0,550.0,,natural gas,,"Best-performing sample. Conductivity pellet: 2.05 mm x 13 mm, active area 0.64 cm2, Ag paste current collectors. Also 0.015 S/cm at 600 C in air atmosphere. Pmax 350 mW/cm2 cited at both 500 C (abstract) and 550 C (conclusion); using 550 C from conclusion. FC pellet was 1 mm x 13 mm (separate from conductivity pellet). Qualitative statement 'stable conductivity with aging' but no hours reported.",medium
ref05_BSDC,"Ahmed, Raza et al. 2016, Int. J. Hydrogen Energy","BSDC-carbonate [Sample-4] (SDC + Ba(NO3)2 + citric acid chelating agent, wet chemical)",Ba+Sm,0.2,Na2CO3 (implicit from SDC precipitation step; no Na2CO3 added in Sample-4 step),,wet chemical with citric acid chelating agent,800,1000.0,,,,,,,,,,,natural gas,,"SDC:Ba(NO3)2 molar ratio 1:2 (0.0125 M Ba(NO3)2 vs 0.005 M Sm), with 0.0125 mol citric acid as chelator. No conductivity or Pmax numbers tabulated in extracted text (Fig. 8 shows curves).",medium
ref06_SDC-Na2CO3,"Raza et al. 2010, Int. J. Hydrogen Energy 35:2684",SDC-Na2CO3 (one-step co-precipitation),Sm,,Na2CO3,,one-step co-precipitation (nitrates + Na2CO3 co-precipitated in same process),800,400.0,,,,,,,,1150.0,500.0,1.018,,,"Novel one-step process is the paper's main contribution. Sintering 800 C 2 h. Cell 13 mm diameter, 0.7 cm2 active area, 0.8-1.0 mm total thickness (electrolyte 0.3-0.5 mm; pellet_thickness_um recorded as midpoint 400). Cell then sintered 600 C 0.5 h. Metal ion : carbonate ion molar ratio = 1:2. Sm:Ce ratio not explicitly stated for the one-step (only 1:4 stated for the two-step comparison sample); dopant_fraction left null. No direct conductivity measurement reported (only I-V/I-P fuel cell characteristics). Fuel gas not stated in text.",high
ref06_SDC-Na2CO3,"Raza et al. 2010, Int. J. Hydrogen Energy 35:2684","SDC-LiNaCO3 (conventional two-step, comparison)",Sm,0.2,LiNaCO3 (Li/Na binary carbonate),,"two-step: (1) co-precipitation of SDC with NH3 at pH 10, sintered 700 C 2 h; (2) mixed with LiNaCO3 powder, sintered 700 C 30 min",700,400.0,,,,,,,,1000.0,590.0,0.98,,,"Comparison baseline (not the paper's own novel material). Sm:Ce = 1:4 (20%) explicit. SDC:LiNaCO3 weight ratio not stated. Cell dimensions same as one-step sample (13 mm, 0.7 cm2 active, 0.8-1.0 mm total, 0.3-0.5 mm electrolyte -> midpoint 400 um). Sintered at 600 C 0.5 h after pressing. Pmax ~1000 mW/cm2 at 590 C. No direct conductivity value reported.",high
ref07_CSDC,"Raza et al. 2010, J. Power Sources 195:6491",CSDC-Na2CO3 (Ce0.8Sm0.2-xCaxO2-delta - Na2CO3),Sm+Ca (co-doped),0.2,Na2CO3,,co-precipitation (Ce/Sm/Ca nitrates + Na2CO3 dropwise),800,250.0,,2-probe AC impedance,air,ionic,0.1,300.0,,980.0,560.0,1.05,H2,,"Cell: 13 mm diameter, 0.80 mm total thickness (0.35 mm anode + 0.25 mm electrolyte + 0.20 mm cathode), 0.64 cm2 active area, cell sintered 650 C 45 min. Impedance measured 0.1 Hz - 1 MHz over 300-600 C; Nyquist plot shown in air at 550 C. Highest reported conductivity T = 300 C (paper states 0.1 S/cm at 300 C); no conductivity value reported at higher T, so 300 C is used despite the 'closest to 600 C' rule (no higher value available). Also at 350 C: OCV 0.99 V, Pmax 200 mW/cm2. Abstract quotes Pmax as 'about 1000 mW/cm2 at 560 C'; body text 980 mW/cm2 - using body value. Composition inconsistency: formula label Ce0.8Sm(0.2-x)CaxO2-delta implies total dopant = 0.2 (Ce = 0.8), but the synthesis states molar ratio Ce:Sm:Ca = 4:1:1 which implies Ce = 0.667 and total dopant = 0.333. dopant_fraction = 0.2 recorded to match the formula/label; the 4:1:1 discrepancy is flagged here. secondary_phase_wt_pct not stated (Na2CO3 added dropwise from 0.2 M solution into 0.1 M metal solution).",high
