field,n,accuracy,null_mismatch
activation_energy_eV,16,87.5,12.5
atmosphere,16,87.5,12.5
ceria_dopant,16,100.0,0.0
conductivity_S_cm,16,93.8,6.2
conductivity_temp_C,16,87.5,12.5
conductivity_type,16,93.8,6.2
dopant_fraction,16,81.2,18.8
durability_h,16,93.8,6.2
fuel,16,100.0,0.0
measurement_method,16,93.8,6.2
ocv_V,16,100.0,0.0
pellet_thickness_um,16,68.8,31.2
pmax_mW_cm2,16,87.5,12.5
pmax_temp_C,16,100.0,0.0
relative_density_pct,16,100.0,0.0
secondary_phase,16,100.0,0.0
secondary_phase_wt_pct,16,100.0,0.0
sintering_temp_C,16,100.0,0.0
synthesis_route,16,100.0,0.0
