paper_id,material,field,outcome
ref04_30ADC,10ADC (Al0.1Ce0.9O2),activation_energy_eV,both_null
ref04_30ADC,10ADC (Al0.1Ce0.9O2),atmosphere,correct
ref04_30ADC,10ADC (Al0.1Ce0.9O2),ceria_dopant,correct
ref04_30ADC,10ADC (Al0.1Ce0.9O2),conductivity_S_cm,correct
ref04_30ADC,10ADC (Al0.1Ce0.9O2),conductivity_temp_C,correct
ref04_30ADC,10ADC (Al0.1Ce0.9O2),conductivity_type,correct
ref04_30ADC,10ADC (Al0.1Ce0.9O2),dopant_fraction,correct
ref04_30ADC,10ADC (Al0.1Ce0.9O2),durability_h,both_null
ref04_30ADC,10ADC (Al0.1Ce0.9O2),fuel,correct
ref04_30ADC,10ADC (Al0.1Ce0.9O2),measurement_method,correct
ref04_30ADC,10ADC (Al0.1Ce0.9O2),ocv_V,both_null
ref04_30ADC,10ADC (Al0.1Ce0.9O2),pellet_thickness_um,correct
ref04_30ADC,10ADC (Al0.1Ce0.9O2),pmax_mW_cm2,correct
ref04_30ADC,10ADC (Al0.1Ce0.9O2),pmax_temp_C,correct
ref04_30ADC,10ADC (Al0.1Ce0.9O2),relative_density_pct,both_null
ref04_30ADC,10ADC (Al0.1Ce0.9O2),secondary_phase,correct
ref04_30ADC,10ADC (Al0.1Ce0.9O2),secondary_phase_wt_pct,both_null
ref04_30ADC,10ADC (Al0.1Ce0.9O2),sintering_temp_C,correct
ref04_30ADC,10ADC (Al0.1Ce0.9O2),synthesis_route,correct
ref04_30ADC,20ADC (Al0.2Ce0.8O2),activation_energy_eV,both_null
ref04_30ADC,20ADC (Al0.2Ce0.8O2),atmosphere,correct
ref04_30ADC,20ADC (Al0.2Ce0.8O2),ceria_dopant,correct
ref04_30ADC,20ADC (Al0.2Ce0.8O2),conductivity_S_cm,correct
ref04_30ADC,20ADC (Al0.2Ce0.8O2),conductivity_temp_C,correct
ref04_30ADC,20ADC (Al0.2Ce0.8O2),conductivity_type,correct
ref04_30ADC,20ADC (Al0.2Ce0.8O2),dopant_fraction,correct
ref04_30ADC,20ADC (Al0.2Ce0.8O2),durability_h,both_null
ref04_30ADC,20ADC (Al0.2Ce0.8O2),fuel,correct
ref04_30ADC,20ADC (Al0.2Ce0.8O2),measurement_method,correct
ref04_30ADC,20ADC (Al0.2Ce0.8O2),ocv_V,both_null
ref04_30ADC,20ADC (Al0.2Ce0.8O2),pellet_thickness_um,correct
ref04_30ADC,20ADC (Al0.2Ce0.8O2),pmax_mW_cm2,correct
ref04_30ADC,20ADC (Al0.2Ce0.8O2),pmax_temp_C,correct
ref04_30ADC,20ADC (Al0.2Ce0.8O2),relative_density_pct,both_null
ref04_30ADC,20ADC (Al0.2Ce0.8O2),secondary_phase,correct
ref04_30ADC,20ADC (Al0.2Ce0.8O2),secondary_phase_wt_pct,both_null
ref04_30ADC,20ADC (Al0.2Ce0.8O2),sintering_temp_C,correct
ref04_30ADC,20ADC (Al0.2Ce0.8O2),synthesis_route,correct
ref04_30ADC,30ADC (Al0.3Ce0.7O2),activation_energy_eV,both_null
ref04_30ADC,30ADC (Al0.3Ce0.7O2),atmosphere,correct
ref04_30ADC,30ADC (Al0.3Ce0.7O2),ceria_dopant,correct
ref04_30ADC,30ADC (Al0.3Ce0.7O2),conductivity_S_cm,correct
ref04_30ADC,30ADC (Al0.3Ce0.7O2),conductivity_temp_C,correct
ref04_30ADC,30ADC (Al0.3Ce0.7O2),conductivity_type,correct
ref04_30ADC,30ADC (Al0.3Ce0.7O2),dopant_fraction,correct
ref04_30ADC,30ADC (Al0.3Ce0.7O2),durability_h,both_null
ref04_30ADC,30ADC (Al0.3Ce0.7O2),fuel,correct
ref04_30ADC,30ADC (Al0.3Ce0.7O2),measurement_method,correct
ref04_30ADC,30ADC (Al0.3Ce0.7O2),ocv_V,correct
ref04_30ADC,30ADC (Al0.3Ce0.7O2),pellet_thickness_um,correct
ref04_30ADC,30ADC (Al0.3Ce0.7O2),pmax_mW_cm2,correct
ref04_30ADC,30ADC (Al0.3Ce0.7O2),pmax_temp_C,correct
ref04_30ADC,30ADC (Al0.3Ce0.7O2),relative_density_pct,both_null
ref04_30ADC,30ADC (Al0.3Ce0.7O2),secondary_phase,correct
ref04_30ADC,30ADC (Al0.3Ce0.7O2),secondary_phase_wt_pct,both_null
ref04_30ADC,30ADC (Al0.3Ce0.7O2),sintering_temp_C,correct
ref04_30ADC,30ADC (Al0.3Ce0.7O2),synthesis_route,correct
ref06_SDC-Na2CO3,SDC-Na2CO3 (one-step co-precipitation),activation_energy_eV,both_null
ref06_SDC-Na2CO3,SDC-Na2CO3 (one-step co-precipitation),atmosphere,both_null
ref06_SDC-Na2CO3,SDC-Na2CO3 (one-step co-precipitation),ceria_dopant,correct
ref06_SDC-Na2CO3,SDC-Na2CO3 (one-step co-precipitation),conductivity_S_cm,both_null
ref06_SDC-Na2CO3,SDC-Na2CO3 (one-step co-precipitation),conductivity_temp_C,both_null
ref06_SDC-Na2CO3,SDC-Na2CO3 (one-step co-precipitation),conductivity_type,both_null
ref06_SDC-Na2CO3,SDC-Na2CO3 (one-step co-precipitation),dopant_fraction,both_null
ref06_SDC-Na2CO3,SDC-Na2CO3 (one-step co-precipitation),durability_h,both_null
ref06_SDC-Na2CO3,SDC-Na2CO3 (one-step co-precipitation),fuel,both_null
ref06_SDC-Na2CO3,SDC-Na2CO3 (one-step co-precipitation),measurement_method,both_null
ref06_SDC-Na2CO3,SDC-Na2CO3 (one-step co-precipitation),ocv_V,correct
ref06_SDC-Na2CO3,SDC-Na2CO3 (one-step co-precipitation),pellet_thickness_um,null_mismatch
ref06_SDC-Na2CO3,SDC-Na2CO3 (one-step co-precipitation),pmax_mW_cm2,correct
ref06_SDC-Na2CO3,SDC-Na2CO3 (one-step co-precipitation),pmax_temp_C,correct
ref06_SDC-Na2CO3,SDC-Na2CO3 (one-step co-precipitation),relative_density_pct,both_null
ref06_SDC-Na2CO3,SDC-Na2CO3 (one-step co-precipitation),secondary_phase,correct
ref06_SDC-Na2CO3,SDC-Na2CO3 (one-step co-precipitation),secondary_phase_wt_pct,both_null
ref06_SDC-Na2CO3,SDC-Na2CO3 (one-step co-precipitation),sintering_temp_C,correct
ref06_SDC-Na2CO3,SDC-Na2CO3 (one-step co-precipitation),synthesis_route,correct
ref06_SDC-Na2CO3,"SDC-LiNaCO3 (conventional two-step, comparison)",activation_energy_eV,both_null
ref06_SDC-Na2CO3,"SDC-LiNaCO3 (conventional two-step, comparison)",atmosphere,both_null
ref06_SDC-Na2CO3,"SDC-LiNaCO3 (conventional two-step, comparison)",ceria_dopant,correct
ref06_SDC-Na2CO3,"SDC-LiNaCO3 (conventional two-step, comparison)",conductivity_S_cm,both_null
ref06_SDC-Na2CO3,"SDC-LiNaCO3 (conventional two-step, comparison)",conductivity_temp_C,both_null
ref06_SDC-Na2CO3,"SDC-LiNaCO3 (conventional two-step, comparison)",conductivity_type,both_null
ref06_SDC-Na2CO3,"SDC-LiNaCO3 (conventional two-step, comparison)",dopant_fraction,correct
ref06_SDC-Na2CO3,"SDC-LiNaCO3 (conventional two-step, comparison)",durability_h,both_null
ref06_SDC-Na2CO3,"SDC-LiNaCO3 (conventional two-step, comparison)",fuel,both_null
ref06_SDC-Na2CO3,"SDC-LiNaCO3 (conventional two-step, comparison)",measurement_method,both_null
ref06_SDC-Na2CO3,"SDC-LiNaCO3 (conventional two-step, comparison)",ocv_V,correct
ref06_SDC-Na2CO3,"SDC-LiNaCO3 (conventional two-step, comparison)",pellet_thickness_um,null_mismatch
ref06_SDC-Na2CO3,"SDC-LiNaCO3 (conventional two-step, comparison)",pmax_mW_cm2,correct
ref06_SDC-Na2CO3,"SDC-LiNaCO3 (conventional two-step, comparison)",pmax_temp_C,correct
ref06_SDC-Na2CO3,"SDC-LiNaCO3 (conventional two-step, comparison)",relative_density_pct,both_null
ref06_SDC-Na2CO3,"SDC-LiNaCO3 (conventional two-step, comparison)",secondary_phase,correct
ref06_SDC-Na2CO3,"SDC-LiNaCO3 (conventional two-step, comparison)",secondary_phase_wt_pct,both_null
ref06_SDC-Na2CO3,"SDC-LiNaCO3 (conventional two-step, comparison)",sintering_temp_C,correct
ref06_SDC-Na2CO3,"SDC-LiNaCO3 (conventional two-step, comparison)",synthesis_route,correct
ref08_CSDC-Na2CO3,CSDC-Na2CO3 Sample-1 (sintered 600 C 3 h),activation_energy_eV,both_null
ref08_CSDC-Na2CO3,CSDC-Na2CO3 Sample-1 (sintered 600 C 3 h),atmosphere,both_null
ref08_CSDC-Na2CO3,CSDC-Na2CO3 Sample-1 (sintered 600 C 3 h),ceria_dopant,correct
ref08_CSDC-Na2CO3,CSDC-Na2CO3 Sample-1 (sintered 600 C 3 h),conductivity_S_cm,both_null
ref08_CSDC-Na2CO3,CSDC-Na2CO3 Sample-1 (sintered 600 C 3 h),conductivity_temp_C,both_null
ref08_CSDC-Na2CO3,CSDC-Na2CO3 Sample-1 (sintered 600 C 3 h),conductivity_type,both_null
